Product Url,Product Name,Brand,Product ID,Price,Rating,Number of Reviews,Parent Category,Sub Category,Sales Rank(in parent category),Sales Rank(in sub category),Release Date,Country of Origin,Purchased in Last Month
https://www.amazon.com/Amazon-Fire-Kids-tablet-Top-selling/dp/B0BL8WSCH3/ref=zg_bs_g_amazon-devices_d_sccl_40/135-4977875-3732765?psc=1,"Amazon Fire 7 Kids tablet (newest model) ages 3-7. Top-selling 7"" kids tablet on Amazon. Includes ad-free and exclusive content, easy parental controls, 10-hr battery, 16 GB, Purple",Amazon Fire Tablets,B0BL8WSCH3,54.99,4.4,28197.0,,,,,,,
https://www.amazon.com/Ring-Battery-Doorbell-Pro-Video-Camera/dp/B0B2BY4ZG7/ref=zg_bs_g_amazon-devices_d_sccl_41/135-4977875-3732765?psc=1,"Ring Battery Doorbell Pro (newest model), Two-Way Talk with Audio+, 3D Motion Detection, and 1536p HD+ Head-to-Toe Video",Ring,B0B2BY4ZG7,97.49,4.5,2297.0,,,,,,,
https://www.amazon.com/Ring-Solar-Charger-for-Battery-Doorbell/dp/B0CLMJ6HJP/ref=zg_bs_g_amazon-devices_d_sccl_42/135-4977875-3732765?psc=1,All-new Ring Solar Charger for Battery Doorbell,Ring,B0CLMJ6HJP,49.49,4.0,15165.0,,,,,,,
https://www.amazon.com/Fire-HD-8-Tablet-Black-32GB/dp/B0CVDN4QS6/ref=zg_bs_g_amazon-devices_d_sccl_43/135-4977875-3732765?psc=1,"Amazon Fire HD 8 tablet (newest model), 8” HD Display, 3GB memory, 32GB, designed for portable entertainment, Black",Amazon Fire Tablets,B0CVDN4QS6,54.99,4.5,5927.0,,,,,,,
https://www.amazon.com/INSIGNIA-32-inch-LED-HD-Fire-TV/dp/B0F7RZ1MS9/ref=zg_bs_g_amazon-devices_d_sccl_44/135-4977875-3732765?psc=1,"INSIGNIA 32"" Class F20 Series LED HD Smart Fire TV with Alexa Voice Remote (NS-32F201NA26)",Amazon Fire TV,B0F7RZ1MS9,79.99,4.5,167.0,,,,,,,
https://www.amazon.com/tcl-fire-tv-55-inch-class-s5-4k-smart-tv/dp/B0D4PD799H/ref=zg_bs_g_amazon-devices_d_sccl_45/135-4977875-3732765?psc=1,"TCL 55-Inch Class S5 UHD 4K LED Smart TV with Fire TV (55S551F, 2024 Model), Dolby Vision, HDR PRO+, Dolby Atmos, Alexa Built-in with Voice Remote, Apple AirPlay 2 Compatibility, Streaming Television",TCL,B0D4PD799H,249.99,4.0,2834.0,Amazon Devices & Accessories,Televisions,45.0,4.0,"June 16, 2024",,
https://www.amazon.com/Introducing-alexa-voice-remote-pro/dp/B09RX4HKTD/ref=zg_bs_g_amazon-devices_d_sccl_46/135-4977875-3732765?psc=1,"Amazon Fire TV Alexa Voice Remote Pro (newest model) with remote finder, TV controls, and backlit buttons",Amazon Fire TV Accessories,B09RX4HKTD,24.99,4.5,21040.0,,,,,,,
https://www.amazon.com/fire-tv-stick-with-3rd-gen-alexa-voice-remote/dp/B08C1W5N87/ref=zg_bs_g_amazon-devices_d_sccl_47/135-4977875-3732765?psc=1,"Amazon Fire TV Stick, sharp picture quality, fast streaming, free & live TV, Alexa Voice Remote with TV controls",Amazon Fire TV,B08C1W5N87,39.99,4.7,518963.0,,,,,,,
https://www.amazon.com/Ring-Spotlight-Cam-Pro-Battery-White/dp/B09DRX62ZV/ref=zg_bs_g_amazon-devices_d_sccl_48/135-4977875-3732765?psc=1,"Ring Spotlight Cam Pro, Battery | 3D Motion Detection, Two-Way Talk with Audio+, and Dual-Band Wifi (2022 release) - White",Ring,B09DRX62ZV,139.99,4.4,5089.0,,,,,,,
https://www.amazon.com/Amazon_Fire_HD_10_Kids_Pro/dp/B0BL6DCNGR/ref=zg_bs_g_amazon-devices_d_sccl_49/135-4977875-3732765?psc=1,"Amazon Fire HD 10 Kids Pro tablet (newest model) ages 6-12. Bright 10.1"" HD screen, includes ad-free content, robust parental controls, 13-hr battery and slim case for older kids, 32 GB, Nebula",Amazon Fire Tablets,B0BL6DCNGR,104.99,4.6,7764.0,,,,,,,
https://www.amazon.com/Blink-Sync-Module-2/dp/B084RQ6MHJ/ref=zg_bs_g_amazon-devices_d_sccl_50/135-4977875-3732765?psc=1,Blink Add-On Sync Module 2,Blink,B084RQ6MHJ,49.99,4.4,47681.0,,,,,,,
https://www.amazon.com/amazon-fire-tv-32-inch-2-series-hd-smart-tv/dp/B0CJDSNN4T/ref=zg_bs_g_amazon-devices_d_sccl_1/135-4977875-3732765?psc=1,"Amazon Fire TV 32"" 2-Series (newest model), HD smart TV with Fire TV Alexa Voice Remote, stream live TV without cable",Amazon Fire TV,B0CJDSNN4T,109.99,4.4,12667.0,,,,,,,
https://www.amazon.com/Ring-Video-Doorbell-Wired/dp/B08CKHPP52/ref=zg_bs_g_amazon-devices_d_sccl_2/135-4977875-3732765?psc=1,"Ring Video Doorbell Wired (newest model), Use Two-Way Talk, advanced motion detection, HD camera and real-time alerts to monitor your front door (wiring required)",Ring,B08CKHPP52,49.99,4.4,77619.0,,,,,,,
https://www.amazon.com/Introducing-Ring-pet-tag/dp/B0BLXHWPLP/ref=zg_bs_g_amazon-devices_d_sccl_3/135-4977875-3732765?psc=1,Ring Pet Tag | Easy-to-use tag with QR code | Real-time scan alerts | Shareable Pet Profile | No subscription or fees,Ring,B0BLXHWPLP,9.99,4.5,3243.0,,,,,,,
